id,name,abbr,team,pos,color,photo,gp,g,a,pts,plusMinus,pim,shots
8484227,Will Smith,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8484227.png,55,19,26,45,-3,14,134
8478010,Brayden Point,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478010.png,50,16,29,45,9,12,100
8482097,Jack Quinn,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482097.png,70,16,28,44,8,16,150
8475726,Tyler Toffoli,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8475726.png,67,18,26,44,-9,10,151
8477505,Alexander Wennberg,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477505.png,67,13,31,44,-24,18,79
8478493,Joel Eriksson Ek,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478493.png,62,17,27,44,13,26,173
8478449,Roope Hintz,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478449.png,53,15,29,44,16,18,126
8482113,Anton Lundell,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482113.png,64,18,26,44,-8,34,138
8482665,Matty Beniers,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482665.png,69,18,26,44,-5,23,128
8473512,Claude Giroux,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8473512.png,69,12,31,43,20,22,115
8476906,Shayne Gostisbehere,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8476906.png,45,11,32,43,10,14,98
8475149,Marcus Johansson,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8475149.png,64,14,29,43,18,10,88
8482809,Jackson Blake,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482809.png,69,20,23,43,5,38,149
8480015,Owen Tippett,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480015.png,69,24,18,42,-8,28,187
8475692,Mats Zuccarello,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8475692.png,51,13,29,42,-7,16,108
8482667,William Eklund,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482667.png,64,12,30,42,-31,28,153
8482175,JJ Peterka,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482175.png,70,22,20,42,8,26,134
8477496,Elias Lindholm,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477496.png,57,13,29,42,-5,34,94
8477476,Artturi Lehkonen,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477476.png,59,19,23,42,31,12,138
8474141,Patrick Kane,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8474141.png,55,12,30,42,1,14,142
8477402,Pavel Buchnevich,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477402.png,69,16,26,42,-15,26,127
8475184,Chris Kreider,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8475184.png,63,21,21,42,-2,26,114
8478407,Vince Dunn,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478407.png,68,11,30,41,-24,38,146
8480012,Elias Pettersson,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480012.png,61,15,26,41,-21,18,108
8476905,Chandler Stephenson,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8476905.png,67,14,27,41,-25,14,87
8478042,Viktor Arvidsson,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478042.png,58,19,22,41,17,22,150
8477989,Christian Dvorak,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477989.png,68,14,27,41,5,20,130
8477942,Kevin Fiala,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477942.png,56,18,22,40,-11,34,147
8475765,Vladimir Tarasenko,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8475765.png,64,20,20,40,-4,8,127
8484911,Collin Graf,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8484911.png,67,19,21,40,2,10,95
8477501,Valeri Nichushkin,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477501.png,59,15,25,40,4,22,133
8477429,Andrew Copp,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477429.png,67,9,30,39,3,22,99
8479425,Filip Hronek,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8479425.png,69,8,31,39,-5,22,104
8476468,J.T. Miller,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8476468.png,55,14,25,39,-28,20,118
8480807,Mattias Samuelsson,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480807.png,67,12,27,39,35,24,96
8480220,Noah Cates,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480220.png,69,15,23,38,19,42,106
8474150,Mikael Backlund,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8474150.png,69,15,23,38,11,16,165
8475791,Taylor Hall,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8475791.png,69,15,23,38,8,40,118
8482259,Bobby McMann,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482259.png,65,23,15,38,-4,42,138
8481596,Shane Pinto,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8481596.png,59,18,20,38,3,40,133
8482730,Brandt Clarke,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482730.png,69,8,30,38,4,46,135
8484387,Matvei Michkov,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8484387.png,68,16,21,37,-8,59,134
8481601,Simon Holmstrom,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8481601.png,68,17,20,37,13,16,85
8475218,Mattias Ekholm,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8475218.png,71,6,31,37,25,28,120
8478397,Rasmus Andersson,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478397.png,69,12,25,37,-3,65,148
8475722,Jason Zucker,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8475722.png,51,20,17,37,-3,21,106
8478438,Thomas Novak,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478438.png,69,15,22,37,5,24,107
8475314,Anders Lee,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8475314.png,70,15,21,36,3,34,171
8482124,Quinton Byfield,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482124.png,66,14,22,36,-10,40,142
8478444,Brock Boeser,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478444.png,62,16,20,36,-32,8,137
8479999,Casey Mittelstadt,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8479999.png,60,13,23,36,9,8,70
8479323,Adam Fox,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8479323.png,42,5,31,36,5,18,71
8479385,Jordan Kyrou,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8479385.png,59,16,20,36,-8,6,150
8484186,Ryan Leonard,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8484186.png,63,15,21,36,0,34,123
8483516,Jimmy Snuggerud,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8483516.png,57,15,21,36,4,12,130
8477955,Jared McCann,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477955.png,44,18,18,36,-3,11,103
8476483,Rickard Rakell,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8476483.png,48,14,21,35,5,6,127
8481524,Bowen Byram,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8481524.png,70,10,25,35,13,46,95
