id,name,abbr,color,photo,gp,g,a,pts,plusMinus
8480009,Eeli Tolvanen,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480009.png,66,12,23,35,-14
8481524,Bowen Byram,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481524.png,70,10,25,35,13
8481711,Matias Maccelli,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481711.png,60,14,21,35,-16
8475753,Justin Faulk,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475753.png,68,12,22,34,-4
8478414,Timo Meier,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478414.png,64,19,15,34,-17
8478975,Mason Marchment,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478975.png,56,16,18,34,8
8483493,Frank Nazar,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8483493.png,53,11,23,34,-15
8478474,Lawson Crouse,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478474.png,69,17,17,34,21
8481580,Connor McMichael,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481580.png,66,10,24,34,5
8477015,Connor Brown,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477015.png,62,13,21,34,-4
8480028,Morgan Frost,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480028.png,69,16,18,34,-18
8482775,Oliver Kapanen,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482775.png,69,20,14,34,3
8476853,Morgan Rielly,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476853.png,67,9,24,33,-17
8482679,Matt Coronato,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482679.png,68,16,17,33,-28
8471685,Anze Kopitar,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8471685.png,54,11,22,33,14
8475168,Matt Duchene,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475168.png,44,13,20,33,-1
8476875,Mike Matheson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476875.png,66,6,27,33,10
8482110,Dawson Mercer,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482110.png,69,15,18,33,-4
8478047,Michael Bunting,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478047.png,68,14,19,33,-21
8477950,Tony DeAngelo,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477950.png,70,5,28,33,-2
8482155,Alex Laferriere,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482155.png,69,17,16,33,-1
8481522,Peyton Krebs,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481522.png,70,9,24,33,7
8479351,Sam Steel,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479351.png,69,12,20,32,7
8478856,Conor Garland,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478856.png,58,12,20,32,-14
8476885,Jacob Trouba,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476885.png,68,10,22,32,3
8482684,Luke Hughes,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482684.png,59,6,26,32,-6
8475170,Brayden Schenn,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475170.png,68,14,18,32,-25
8482702,Logan Stankoven,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482702.png,69,14,18,32,12
8482745,Mason McTavish,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482745.png,62,13,19,32,-11
8476432,Boone Jenner,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476432.png,54,10,22,32,2
8482705,Cole Sillinger,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482705.png,68,7,25,32,6
8484145,Zach Benson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8484145.png,53,8,24,32,23
8475287,Erik Haula,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475287.png,69,11,21,32,-16
8482077,Dylan Holloway,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482077.png,46,15,17,32,3
8477503,Max Domi,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477503.png,69,10,22,32,-21
8482157,Will Cuylle,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482157.png,69,16,16,32,-14
8477447,Shea Theodore,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477447.png,58,8,24,32,12
8485414,Ben Kindel,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8485414.png,66,17,15,32,-9
8476882,Teuvo Teravainen,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476882.png,62,13,19,32,-19
8481716,Dmitri Voronkov,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481716.png,62,17,15,32,-1
8478498,Jake DeBrusk,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478498.png,68,14,18,32,-25
8480817,K'Andre Miller,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480817.png,61,6,26,32,8
8483489,Fraser Minten,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8483489.png,70,16,15,31,22
8478507,John Marino,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478507.png,70,4,27,31,38
8482145,Mavrik Bourque,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482145.png,69,13,18,31,0
8481617,Vasily Podkolzin,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481617.png,71,16,15,31,17
8477444,Andre Burakovsky,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477444.png,63,11,20,31,-21
8477451,Ryan Hartman,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477451.png,67,16,15,31,-4
8480797,Joel Farabee,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480797.png,69,16,15,31,-10
8478469,Thomas Chabot,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478469.png,54,7,24,31,6
8477948,Travis Sanheim,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477948.png,69,8,23,31,7
8476419,Jean-Gabriel Pageau,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476419.png,62,15,16,31,4
8470621,Corey Perry,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8470621.png,58,13,18,31,0
8478882,Vladislav Gavrikov,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478882.png,69,14,17,31,-13
8480068,Ryan Poehling,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480068.png,62,9,22,31,13
8478020,Michael Amadio,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478020.png,69,12,18,30,9
8483431,Logan Cooley,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8483431.png,42,17,13,30,6
8473994,Jamie Benn,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8473994.png,47,14,16,30,11
8481554,Kaapo Kakko,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481554.png,52,11,19,30,11
8482475,Egor Chinakhov,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482475.png,60,15,15,30,1
8478542,Evan Rodrigues,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478542.png,67,11,19,30,-15
